,Afrikaans,Arabic,Armenian,Basque,Belarusian,Bulgarian,Catalan,Chinese,Classical Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,Galician,German,Gothic,Greek,Hebrew,Hindi,Hungarian,Indonesian,Irish,Italian,Japanese,Kazakh,Korean,Latin,Latvian,Lithuanian,Maltese,Marathi,North Sami,Old Church Slavonic,Persian,Polish,Portuguese,Romanian,Russian,Sanskrit,Scottish Gaelic,Serbian,Slovak,Slovenian,Spanish,Swedish,Tamil,Telugu,Turkish,Ukrainian,Urdu,Uyghur,Vietnamese,Welsh,Wolof
Slovenian,0.733,0.2037,0.6818,0.7466,0.6894,0.7613,0.824,0.5778,0.054,0.8772,0.7859,0.8051,0.7773,0.7366,0.7468,0.0008,0.7296,0.7399,0.7064,0.2611,0.7381,0.54,0.6213,0.3551,0.3616,0.6188,0.8479,0.5711,0.2377,0.5476,0.7223,0.7536,0.7437,0.631,0.6708,0.5357,0.3836,0.0042,0.7351,0.5665,0.8385,0.65,0.2177,0.5732,0.862,0.8049,1.0,0.7549,0.8082,0.5036,0.5998,0.6332,0.7477,0.6296,0.5056,0.5536,0.5798,0.1994
Spanish,0.6593,0.2014,0.5656,0.6373,0.7143,0.8065,0.9238,0.5758,0.0455,0.7699,0.8005,0.7847,0.7948,0.7952,0.7292,0.0004,0.7703,0.7642,0.7635,0.2333,0.7847,0.4988,0.5636,0.406,0.5702,0.5475,0.847,0.5142,0.173,0.5158,0.6605,0.7357,0.7524,0.7429,0.5903,0.462,0.3693,0.008,0.7701,0.6469,0.8182,0.6178,0.1916,0.5113,0.7602,0.7994,0.7549,1.0,0.7845,0.5113,0.6143,0.555,0.7504,0.5342,0.4558,0.5867,0.4694,0.2295
Swedish,0.7619,0.215,0.6214,0.7862,0.7144,0.759,0.8102,0.6984,0.0647,0.8017,0.8143,0.9208,0.8991,0.7974,0.8815,0.0013,0.7638,0.8034,0.8166,0.3498,0.8399,0.5616,0.5918,0.3992,0.4307,0.7327,0.8691,0.683,0.2185,0.7181,0.8456,0.7892,0.8676,0.6879,0.751,0.6435,0.5081,0.0004,0.7746,0.6246,0.815,0.7432,0.2912,0.6658,0.8153,0.8138,0.8082,0.7845,1.0,0.575,0.734,0.7053,0.7812,0.6215,0.538,0.6718,0.6209,0.1779
Tamil,0.5324,0.1399,0.3668,0.5746,0.4303,0.4793,0.5224,0.5545,0.3454,0.5046,0.4826,0.5616,0.5566,0.4544,0.6197,0.0,0.479,0.511,0.5144,0.2424,0.4826,0.3126,0.472,0.3159,0.27,0.5108,0.5446,0.5115,0.1665,0.5263,0.5499,0.5162,0.5609,0.3984,0.496,0.4316,0.3935,0.0,0.4528,0.3788,0.524,0.4103,0.212,0.4379,0.5103,0.5061,0.5036,0.5113,0.575,1.0,0.5445,0.4609,0.4803,0.4485,0.4049,0.4608,0.4391,0.302
Telugu,0.5545,0.1696,0.4356,0.6262,0.6728,0.5652,0.583,0.6018,0.0714,0.5821,0.632,0.7238,0.709,0.5716,0.7691,0.0,0.5383,0.6356,0.6642,0.3074,0.6555,0.5347,0.4494,0.3462,0.3244,0.6894,0.6562,0.6322,0.2464,0.6136,0.6716,0.6994,0.6968,0.5922,0.6534,0.6042,0.4409,0.0,0.5934,0.4603,0.629,0.6463,0.2456,0.5073,0.6065,0.6087,0.5998,0.6143,0.734,0.5445,1.0,0.6691,0.6927,0.4446,0.6243,0.58,0.5529,0.1937
Turkish,0.5715,0.1607,0.4705,0.6287,0.6098,0.5514,0.5744,0.5169,0.0656,0.6005,0.6202,0.6939,0.6629,0.571,0.6968,0.0018,0.524,0.6316,0.6058,0.2836,0.6007,0.5085,0.4818,0.3442,0.2954,0.7305,0.642,0.5464,0.3117,0.5879,0.6543,0.6188,0.6475,0.5194,0.6357,0.5899,0.4089,0.0018,0.5937,0.4229,0.5834,0.5841,0.2366,0.5301,0.5882,0.6156,0.6332,0.555,0.7053,0.4609,0.6691,1.0,0.6256,0.4988,0.5643,0.5135,0.5579,0.162
Ukrainian,0.6278,0.2096,0.4841,0.5588,0.9387,0.7435,0.7111,0.5126,0.0409,0.7356,0.87,0.8328,0.8015,0.7363,0.8254,0.0,0.6718,0.7538,0.7761,0.2089,0.837,0.8078,0.4293,0.313,0.4353,0.5558,0.7932,0.5085,0.1779,0.443,0.626,0.8984,0.7775,0.7644,0.5346,0.4973,0.3013,0.0012,0.8092,0.5327,0.7253,0.901,0.1778,0.4682,0.7282,0.8383,0.7477,0.7504,0.7812,0.4803,0.6927,0.6256,1.0,0.44,0.5445,0.5941,0.4888,0.1726
Urdu,0.5932,0.1504,0.5316,0.6504,0.3843,0.5259,0.5955,0.5131,0.0568,0.6166,0.5202,0.5953,0.5835,0.5245,0.5573,0.0,0.553,0.5482,0.4986,0.2492,0.4791,0.2914,0.7133,0.3612,0.2776,0.5312,0.6151,0.5309,0.2068,0.5549,0.6104,0.4813,0.5634,0.3644,0.6209,0.4349,0.4168,0.0164,0.4933,0.4192,0.5881,0.3725,0.2277,0.5409,0.5858,0.5621,0.6296,0.5342,0.6215,0.4485,0.4446,0.4988,0.44,1.0,0.3828,0.3856,0.4779,0.2187
Uyghur,0.4334,0.1421,0.3307,0.5032,0.5517,0.4459,0.4561,0.4577,0.1005,0.464,0.4909,0.53,0.5214,0.4138,0.5632,0.0,0.4235,0.4948,0.488,0.2353,0.5036,0.4322,0.3557,0.2507,0.2087,0.5712,0.5017,0.4647,0.3136,0.434,0.5239,0.5488,0.5359,0.4452,0.5384,0.4601,0.3,0.0,0.4562,0.3519,0.498,0.5094,0.1907,0.3827,0.4759,0.4787,0.5056,0.4558,0.538,0.4049,0.6243,0.5643,0.5445,0.3828,1.0,0.4313,0.4631,0.1561
Vietnamese,0.545,0.1569,0.3858,0.5592,0.5924,0.6036,0.603,0.5765,0.2289,0.552,0.5842,0.668,0.6535,0.6561,0.6366,0.0,0.6039,0.6337,0.6172,0.2864,0.5977,0.4426,0.3841,0.3381,0.3842,0.5317,0.6221,0.5598,0.1471,0.5794,0.6219,0.5812,0.6676,0.6419,0.5481,0.4902,0.3902,0.0018,0.5883,0.528,0.6149,0.5044,0.2346,0.4553,0.5993,0.6198,0.5536,0.5867,0.6718,0.4608,0.58,0.5135,0.5941,0.3856,0.4313,1.0,0.4348,0.1387
Welsh,0.5319,0.1476,0.3909,0.6284,0.4986,0.4855,0.5148,0.5328,0.0617,0.5159,0.5081,0.5831,0.5815,0.4676,0.621,0.0,0.5157,0.5321,0.5012,0.2672,0.4953,0.3622,0.4779,0.3105,0.1914,0.6153,0.5659,0.5223,0.238,0.5563,0.6142,0.555,0.5662,0.3988,0.5563,0.5503,0.3808,0.0011,0.4779,0.3718,0.5634,0.452,0.2129,0.528,0.5225,0.512,0.5798,0.4694,0.6209,0.4391,0.5529,0.5579,0.4888,0.4779,0.4631,0.4348,1.0,0.1614
Wolof,0.1742,0.0567,0.1176,0.2719,0.1678,0.1892,0.2322,0.2884,0.0801,0.2163,0.1654,0.1736,0.2153,0.1672,0.2585,0.18,0.2195,0.1981,0.1905,0.0882,0.1805,0.0985,0.3067,0.2282,0.2138,0.2397,0.2256,0.2147,0.0507,0.2286,0.1805,0.2306,0.2297,0.1358,0.1364,0.1395,0.1831,0.0,0.1486,0.1613,0.2164,0.1379,0.0883,0.2695,0.1829,0.2273,0.1994,0.2295,0.1779,0.302,0.1937,0.162,0.1726,0.2187,0.1561,0.1387,0.1614,1.0
